('i_7018', 4460, 0.03, 1.58, 118.08, 3883.3333333333335)
('i_18891', 11983, 0.01, 38.99, 80.75, 4176.0)
('i_12104', 7700, 0.01, 17.56, 88.64, 7108.0)
('i_12442', 7902, 0.02, 15.74, 127.83, 5604.5)
('i_20781', 13191, 0.01, 14.39, 133.36, 11897.000000000002)
('i_51455', 32581, 0.04, 36.13, 115.87, 1993.5000000000002)
('i_2469', 1564, 0.02, 48.69, 127.06, 3918.5)
('i_13834', 8781, 0.03, 6.56, 66.14, 1986.0)
('i_23256', 14763, 0.04, 13.85, 88.69, 1871.0)
('i_18572', 11777, 0.01, 33.38, 96.39, 6301.0)
('i_24133', 15327, 0.01, 30.67, 127.26, 9659.0)
('i_46183', 29238, 0.04, 17.62, 110.43, 2320.25)
('i_13272', 8438, 0.06, 20.63, 116.56, 1598.8333333333335)
('i_27220', 17289, 0.04, 3.42, 124.99, 3039.2499999999995)
('i_32035', 20378, 0.04, 31.89, 94.7, 1570.25)
('i_26177', 16634, 0.02, 47.25, 81.17, 1696.0)
('i_16767', 10646, 0.06, 14.5, 111.79, 1621.5000000000002)
('i_11983', 7620, 0.01, 13.61, 67.82, 5420.999999999999)
('i_49088', 31088, 0.02, 37.32, 115.63, 3915.5)
('i_12623', 8019, 0.06, 6.32, 114.72, 1806.6666666666667)
('i_33546', 21318, 0.04, 60.46, 110.02, 1238.9999999999998)
('i_2981', 1895, 0.08, 30.87, 127.61, 1209.25)
('i_13196', 8382, 0.05, 27.59, 102.95, 1507.1999999999998)
('i_25493', 16198, 0.07, 6.49, 100.6, 1344.4285714285713)
('i_8565', 5437, 0.03, 12.99, 57.91, 1497.3333333333333)
('i_42949', 27192, 0.06, 11.91, 88.54, 1277.166666666667)
('i_30930', 19689, 0.05, 20.77, 128.71, 2158.8)
('i_5453', 3453, 0.04, 17.37, 63.4, 1150.75)
('i_19461', 12362, 0.12, 2.2, 124.48, 1019.0)
('i_20992', 13324, 0.04, 30.08, 103.59, 1837.75)
('i_9973', 6340, 0.1, 5.38, 121.5, 1161.2)
('i_14344', 9096, 0.05, 57.05, 107.53, 1009.6)
('i_36215', 22991, 0.1, 10.34, 120.99, 1106.4999999999998)
('i_51324', 32501, 0.09, 20.1, 115.15, 1056.1111111111113)
('i_46106', 29190, 0.05, 15.04, 66.72, 1033.6)
('i_33975', 21599, 0.08, 3.03, 91.61, 1107.25)
('i_37679', 23894, 0.13, 3.81, 110.9, 823.7692307692307)
('i_5608', 3555, 0.11, 23.77, 114.74, 827.0)
('i_12129', 7715, 0.12, 28.74, 124.96, 801.8333333333334)
('i_26707', 16976, 0.13, 10.41, 125.96, 888.8461538461538)
('i_41262', 26141, 0.1, 28.04, 120.64, 925.9999999999999)
('i_5206', 3289, 0.1, 11.54, 88.04, 765.0)
('i_37995', 24104, 0.03, 29.26, 110.05, 2693.0)
('i_20043', 12720, 0.11, 25.62, 116.07, 822.2727272727271)
('i_11478', 7297, 0.08, 44.12, 113.39, 865.8750000000001)
('i_19857', 12600, 0.15, 7.45, 112.41, 699.7333333333333)
('i_13618', 8647, 0.1, 23.27, 103.64, 803.7)
('i_32341', 20567, 0.19, 4.36, 135.9, 692.3157894736842)
('i_27363', 17388, 0.09, 23.53, 84.44, 676.7777777777777)
('i_43429', 27498, 0.06, 8.09, 52.1, 733.5000000000001)
('i_18125', 11487, 0.15, 27.93, 125.68, 651.6666666666667)
('i_25199', 16006, 0.09, 13.44, 78.22, 719.7777777777778)
('i_8002', 5079, 0.12, 0.49, 84.52, 700.25)
('i_7451', 4729, 0.07, 36.57, 79.51, 613.4285714285714)
('i_41610', 26369, 0.13, 36.52, 131.95, 734.0769230769229)
('i_15812', 10051, 0.16, 21.07, 121.66, 628.6875)
('i_30213', 19220, 0.17, 32.62, 135.31, 604.0588235294117)
('i_45877', 29050, 0.07, 36.7, 126.57, 1283.8571428571427)
('i_32432', 20626, 0.07, 56.62, 103.37, 667.8571428571429)
('i_13720', 8708, 0.15, 10.65, 102.2, 610.3333333333334)
('i_25599', 16273, 0.08, 29.31, 126.19, 1211.0)
('i_33229', 21125, 0.12, 59.97, 134.44, 620.5833333333334)
('i_45478', 28792, 0.12, 58.73, 133.92, 626.5833333333334)
('i_46939', 29722, 0.02, 50.02, 61.67, 582.4999999999999)
('i_869', 559, 0.2, 4.84, 118.43, 567.9499999999999)
('i_38945', 24697, 0.02, 20.47, 40.44, 998.4999999999999)
('i_6219', 3947, 0.08, 24.44, 68.95, 556.375)
('i_50150', 31765, 0.18, 28.04, 133.07, 583.5)
('i_31427', 19993, 0.11, 2.76, 68.92, 601.4545454545454)
('i_12086', 7686, 0.1, 12.4, 61.2, 488.0)
('i_47546', 30094, 0.13, 21.91, 83.81, 476.1538461538462)
('i_33042', 21010, 0.1, 38.49, 94.3, 558.0999999999999)
('i_50021', 31681, 0.16, 51.82, 132.08, 501.6250000000001)
('i_13126', 8332, 0.09, 44.17, 97.0, 587.0)
('i_37919', 24055, 0.12, 10.7, 66.68, 466.50000000000006)
('i_3026', 1926, 0.12, 15.32, 68.81, 445.75000000000006)
('i_6383', 4055, 0.15, 48.83, 132.42, 557.2666666666667)
('i_12221', 7772, 0.12, 36.48, 112.82, 636.1666666666667)
('i_378', 246, 0.19, 17.64, 102.38, 445.99999999999994)
('i_27852', 17701, 0.18, 6.68, 103.81, 539.6111111111111)
('i_38013', 24115, 0.09, 14.14, 54.13, 444.33333333333337)
('i_32235', 20507, 0.14, 58.28, 119.31, 435.9285714285714)
('i_44686', 28298, 0.09, 57.28, 97.77, 449.88888888888886)
('i_8180', 5195, 0.25, 3.57, 105.27, 406.8)
('i_46201', 29252, 0.17, 46.83, 117.68, 416.764705882353)
('i_9429', 5988, 0.2, 6.77, 114.63, 539.3)
('i_133', 86, 0.06, 4.73, 32.71, 466.33333333333337)
('i_47902', 30322, 0.2, 53.8, 131.7, 389.49999999999994)
('i_19278', 12239, 0.19, 50.97, 124.58, 387.42105263157896)
('i_28974', 18424, 0.29, 11.52, 133.87, 421.89655172413796)
('i_2950', 1873, 0.16, 2.48, 61.62, 369.625)
('i_47851', 30292, 0.18, 36.24, 103.13, 371.61111111111103)
('i_48200', 30518, 0.21, 19.41, 95.7, 363.28571428571433)
('i_12685', 8058, 0.25, 3.18, 90.4, 348.88)
('i_37009', 23475, 0.21, 38.56, 127.03, 421.2857142857143)
('i_20273', 12858, 0.18, 1.42, 68.51, 372.72222222222223)
('i_32444', 20635, 0.19, 0.27, 65.07, 341.05263157894734)
('i_775', 498, 0.16, 29.84, 108.02, 488.62499999999994)
('i_8728', 5540, 0.16, 25.34, 87.14, 386.25)
('i_42917', 27174, 0.27, 12.54, 119.12, 394.74074074074076)
('i_30520', 19418, 0.28, 32.14, 126.51, 337.0357142857143)
('i_25494', 16199, 0.31, 5.16, 128.89, 399.1290322580645)
('i_247', 163, 0.2, 8.1, 97.19, 445.45)
('i_999', 644, 0.24, 12.36, 104.94, 385.75)
('i_24587', 15615, 0.25, 16.97, 95.49, 314.08)
('i_39332', 24945, 0.26, 25.03, 111.43, 332.3076923076923)
('i_18457', 11705, 0.33, 11.09, 112.85, 308.3636363636363)
('i_13716', 8706, 0.14, 48.93, 92.01, 307.7142857142857)
('i_17327', 10992, 0.08, 25.87, 51.78, 323.875)
('i_29747', 18912, 0.2, 17.65, 80.58, 314.65)
('i_48804', 30913, 0.21, 24.47, 87.35, 299.42857142857144)
('i_25504', 16205, 0.24, 14.18, 91.01, 320.12500000000006)
('i_33541', 21314, 0.15, 50.76, 97.31, 310.33333333333337)
('i_27745', 17631, 0.27, 19.01, 113.68, 350.6296296296296)
('i_13521', 8588, 0.38, 14.42, 127.82, 298.4210526315789)
('i_32812', 20865, 0.35, 19.07, 134.34, 329.3428571428572)
('i_33010', 20991, 0.34, 28.17, 129.29, 297.4117647058823)
('i_15985', 10146, 0.25, 5.83, 77.5, 286.68)
('i_15688', 9970, 0.27, 17.29, 106.36, 329.88888888888886)
('i_33814', 21497, 0.37, 14.91, 121.13, 287.0810810810811)
('i_33982', 21602, 0.39, 20.9, 133.1, 287.6923076923077)
('i_51198', 32423, 0.04, 39.36, 51.06, 292.50000000000006)
('i_26956', 17119, 0.11, 23.72, 54.77, 282.2727272727273)
('i_48262', 30560, 0.21, 18.55, 82.85, 306.1904761904762)
('i_37699', 23908, 0.27, 1.11, 86.69, 316.96296296296293)
('i_11617', 7378, 0.43, 11.38, 132.11, 280.76744186046517)
('i_1286', 817, 0.24, 24.22, 105.38, 338.1666666666667)
('i_18174', 11521, 0.36, 27.95, 127.73, 277.1666666666667)
('i_33087', 21038, 0.41, 1.84, 108.16, 259.3170731707317)
('i_14889', 9454, 0.31, 36.96, 123.5, 279.1612903225806)
('i_6695', 4251, 0.1, 60.6, 87.74, 271.3999999999999)
('i_900', 577, 0.21, 59.54, 114.56, 262.0)
('i_44861', 28409, 0.07, 53.74, 75.16, 305.9999999999999)
('i_45436', 28761, 0.48, 0.42, 123.63, 256.6875)
('i_35178', 22364, 0.32, 20.05, 108.92, 277.71875)
('i_27722', 17618, 0.3, 47.32, 122.9, 251.9333333333334)
('i_29884', 18999, 0.31, 45.39, 122.88, 249.96774193548384)
('i_20914', 13277, 0.33, 11.5, 94.04, 250.12121212121212)
('i_30769', 19585, 0.44, 16.45, 123.77, 243.9090909090909)
('i_32965', 20960, 0.42, 6.7, 112.48, 251.85714285714286)
('i_13671', 8680, 0.4, 20.98, 130.15, 272.925)
('i_17940', 11370, 0.24, 38.48, 96.09, 240.0416666666667)
('i_21707', 13797, 0.23, 36.39, 92.13, 242.3478260869565)
('i_16520', 10481, 0.41, 31.71, 128.9, 237.0487804878049)
('i_45452', 28773, 0.39, 27.06, 129.46, 262.5641025641026)
('i_20883', 13256, 0.12, 32.2, 63.05, 257.0833333333333)
('i_25682', 16321, 0.37, 30.64, 120.82, 243.7297297297297)
('i_47836', 30281, 0.38, 23.49, 132.79, 287.6315789473684)
('i_37553', 23817, 0.12, 15.55, 43.85, 235.83333333333334)
('i_46579', 29491, 0.11, 15.99, 46.15, 274.18181818181813)
('i_2765', 1758, 0.24, 22.94, 78.33, 230.79166666666669)
('i_21913', 13935, 0.24, 21.03, 76.54, 231.29166666666669)
('i_21177', 13450, 0.22, 34.61, 85.51, 231.3636363636364)
('i_17532', 11125, 0.31, 53.23, 125.06, 231.70967741935488)
('i_6357', 4039, 0.19, 26.28, 72.35, 242.47368421052627)
('i_8037', 5103, 0.29, 47.33, 113.93, 229.65517241379314)
('i_10305', 6551, 0.11, 50.36, 75.58, 229.27272727272725)
('i_8245', 5236, 0.11, 4.76, 28.9, 219.45454545454547)
('i_19085', 12118, 0.28, 19.2, 79.64, 215.85714285714283)
('i_27726', 17620, 0.52, 9.21, 119.48, 212.05769230769232)
('i_48947', 31007, 0.48, 31.49, 133.01, 211.5)
('i_19542', 12413, 0.37, 37.63, 120.09, 222.8648648648649)
('i_47251', 29918, 0.29, 19.37, 93.58, 255.89655172413794)
('i_4952', 3126, 0.13, 48.12, 80.64, 250.15384615384616)
('i_51352', 32519, 0.36, 5.95, 83.39, 215.11111111111111)
('i_23553', 14954, 0.28, 23.53, 84.14, 216.4642857142857)
('i_26744', 16995, 0.48, 23.14, 122.98, 208.00000000000003)
('i_6592', 4185, 0.54, 4.81, 131.75, 235.07407407407405)
('i_996', 642, 0.39, 22.8, 104.85, 210.38461538461536)
('i_8015', 5089, 0.31, 41.83, 107.75, 212.6451612903226)
('i_23242', 14757, 0.62, 2.53, 131.23, 207.5806451612903)
('i_7126', 4526, 0.57, 10.73, 130.72, 210.50877192982458)
('i_17749', 11261, 0.34, 50.54, 131.34, 237.64705882352942)
('i_26225', 16667, 0.35, 39.0, 112.61, 210.31428571428572)
('i_12238', 7782, 0.42, 26.48, 115.02, 210.8095238095238)
('i_48456', 30682, 0.59, 12.48, 133.08, 204.40677966101697)
('i_43742', 27698, 0.5, 27.52, 128.76, 202.48)
('i_6610', 4196, 0.45, 1.96, 95.42, 207.6888888888889)
('i_35545', 22598, 0.27, 17.97, 73.78, 206.7037037037037)
('i_17814', 11304, 0.34, 27.23, 94.54, 197.97058823529412)
('i_5450', 3452, 0.41, 29.81, 115.05, 207.90243902439025)
('i_13688', 8692, 0.43, 15.69, 102.09, 200.93023255813955)
('i_10420', 6618, 0.5, 29.0, 131.67, 205.33999999999997)
('i_9797', 6231, 0.36, 55.79, 125.67, 194.11111111111111)
('i_44459', 28153, 0.4, 9.75, 90.13, 200.95)
('i_9566', 6077, 0.52, 20.98, 120.94, 192.2307692307692)
('i_36991', 23464, 0.62, 1.89, 129.28, 205.46774193548387)
('i_30203', 19212, 0.32, 21.73, 82.64, 190.34374999999997)
('i_1667', 1059, 0.61, 14.74, 129.04, 187.37704918032787)
('i_35708', 22696, 0.65, 1.7, 133.32, 202.4923076923077)
('i_49416', 31290, 0.27, 31.12, 83.67, 194.62962962962962)
('i_9016', 5726, 0.64, 17.04, 135.48, 185.0625)
('i_48805', 30914, 0.16, 53.92, 84.02, 188.12499999999997)
('i_6553', 4164, 0.57, 6.49, 117.91, 195.47368421052633)
('i_21876', 13911, 0.47, 13.36, 100.02, 184.38297872340425)
('i_42729', 27059, 0.32, 62.18, 123.63, 192.03124999999997)
('i_6146', 3903, 0.09, 5.93, 22.29, 181.77777777777777)
('i_26036', 16538, 0.51, 0.86, 116.91, 227.54901960784312)
('i_1304', 828, 0.16, 23.55, 53.06, 184.4375)
('i_25016', 15886, 0.61, 13.05, 132.46, 195.75409836065575)
('i_22082', 14037, 0.22, 39.2, 78.89, 180.4090909090909)
('i_6814', 4331, 0.22, 58.88, 98.51, 180.13636363636365)
('i_38798', 24599, 0.09, 16.98, 33.17, 179.8888888888889)
('i_9004', 5717, 0.5, 36.48, 127.06, 181.16000000000003)
('i_50066', 31711, 0.62, 7.61, 115.66, 174.2741935483871)
('i_16952', 10759, 0.46, 5.71, 100.88, 206.8913043478261)
('i_37063', 23509, 0.64, 9.04, 128.0, 185.875)
('i_15671', 9958, 0.25, 0.81, 47.02, 184.84)
('i_3643', 2313, 0.58, 1.33, 105.54, 179.6724137931035)
('i_21208', 13470, 0.38, 40.36, 106.12, 173.05263157894737)
('i_3703', 2345, 0.33, 29.39, 86.26, 172.33333333333334)
('i_36420', 23115, 0.49, 39.65, 127.2, 178.67346938775512)
('i_6227', 3955, 0.47, 34.06, 115.9, 174.1276595744681)
('i_40461', 25640, 0.23, 48.8, 88.18, 171.21739130434787)
('i_3849', 2434, 0.7, 7.7, 131.44, 176.77142857142857)
('i_39997', 25356, 0.49, 12.23, 108.03, 195.51020408163265)
('i_43649', 27641, 0.12, 20.08, 42.25, 184.75000000000003)
('i_17868', 11333, 0.37, 55.02, 117.86, 169.83783783783784)
('i_42334', 26813, 0.34, 42.46, 104.0, 180.99999999999997)
('i_28356', 18026, 0.15, 41.46, 67.4, 172.93333333333337)
('i_29193', 18551, 0.31, 46.81, 100.16, 172.09677419354836)
('i_50559', 32034, 0.32, 16.15, 71.76, 173.78125000000003)
('i_51627', 32689, 0.62, 23.94, 129.05, 169.53225806451616)
('i_21561', 13706, 0.43, 47.49, 121.36, 171.79069767441862)
